timestamp,normalized_rsi
1746926100000,0.4202
1746926400000,0.3950
1746926700000,0.4370
1746927000000,0.4384
1746927300000,0.4421
1746927600000,0.4347
1746927900000,0.3756
1746928200000,0.3529
1746928500000,0.3575
1746928800000,0.3556
1746929100000,0.3493
1746929400000,0.3625
1746929700000,0.3837
1746930000000,0.4156
1746930300000,0.4363
1746930600000,0.4819
1746930900000,0.4785
1746931200000,0.4513
1746931500000,0.4283
1746931800000,0.3229
1746932100000,0.3809
1746932400000,0.3521
1746932700000,0.4061
1746933000000,0.4845
1746933300000,0.5158
1746933600000,0.5124
1746933900000,0.5150
1746934200000,0.4973
1746934500000,0.4782
1746934800000,0.5233
1746935100000,0.5262
1746935400000,0.4903
1746935700000,0.4800
1746936000000,0.4942
1746936300000,0.5109
1746936600000,0.4981
1746936900000,0.5013
1746937200000,0.4262
1746937500000,0.4204
1746937800000,0.3820
1746938100000,0.3564
1746938400000,0.3901
1746938700000,0.4270
1746939000000,0.4309
1746939300000,0.4438
1746939600000,0.4206
1746939900000,0.4155
1746940200000,0.4973
1746940500000,0.4685
1746940800000,0.4693
1746941100000,0.4244
1746941400000,0.4496
1746941700000,0.4422
1746942000000,0.4359
1746942300000,0.3856
1746942600000,0.3615
1746942900000,0.3259
1746943200000,0.2847
1746943500000,0.2657
1746943800000,0.2471
1746944100000,0.3158
1746944400000,0.3559
1746944700000,0.3281
1746945000000,0.3516
1746945300000,0.2793
1746945600000,0.2481
1746945900000,0.2228
1746946200000,0.2997
1746946500000,0.3168
1746946800000,0.2660
1746947100000,0.2201
1746947400000,0.3455
1746947700000,0.3197
1746948000000,0.3415
1746948300000,0.3278
1746948600000,0.3215
1746948900000,0.3147
1746949200000,0.2428
1746949500000,0.3664
1746949800000,0.3675
1746950100000,0.3585
1746950400000,0.4268
1746950700000,0.4099
1746951000000,0.4582
1746951300000,0.4796
1746951600000,0.4838
1746951900000,0.4556
1746952200000,0.4068
1746952500000,0.4342
1746952800000,0.4628
1746953100000,0.4338
1746953400000,0.4402
1746953700000,0.4344
1746954000000,0.4789
1746954300000,0.5617
1746954600000,0.5867
1746954900000,0.5876
1746955200000,0.5988
1746955500000,0.6276
1746955800000,0.6137
1746956100000,0.6307
1746956400000,0.6271
1746956700000,0.6568
1746957000000,0.6528
1746957300000,0.5797
1746957600000,0.5823
1746957900000,0.5851
1746958200000,0.5291
1746958500000,0.4995
1746958800000,0.5248
1746959100000,0.5902
1746959400000,0.6036
1746959700000,0.5802
1746960000000,0.5223
1746960300000,0.5727
1746960600000,0.5742
1746960900000,0.6004
1746961200000,0.5895
1746961500000,0.5664
1746961800000,0.6186
1746962100000,0.5904
1746962400000,0.5435
1746962700000,0.5679
1746963000000,0.5391
1746963300000,0.4859
1746963600000,0.5780
1746963900000,0.5369
1746964200000,0.5377
1746964500000,0.5692
1746964800000,0.5313
1746965100000,0.5934
1746965400000,0.5665
1746965700000,0.5035
1746966000000,0.5177
1746966300000,0.4919
1746966600000,0.5144
1746966900000,0.5497
1746967200000,0.5531
1746967500000,0.5620
